来源,代码,名称,现价,涨幅,成交 (万元),场内份额 (万份),场内新增 (万份),T-2净值,净值日期,T-1估值,估值日期,T-1溢价率,实时估值,实时溢价率,相关标的,T-1指数涨幅,申购费,申购状态,赎回费,赎回状态,管托费,基金公司,操作,相关标的/业绩比较
亚洲市场,159561,德国ETF,1.304,0.31%,14710.4,112650,2000,1.3015,25-05-12,1.2886,25-05-13,1.20%,会员,会员,德国DAX,0.31%,-,开放申购,-,开放赎回,0.60%,嘉实基金,,
亚洲市场,159822,新经济ETF,0.69,3.14%,25647.0,59313,-2000,0.6829,25-05-12,-,25-05-12,-,-,-,标普中国新经济行业指数,-,-,开放申购,-,开放赎回,0.35%,银华基金,,
亚洲市场,159513,纳斯达克100指数ETF,1.296,2.61%,8289.35,469555,100,1.2649,25-05-12,1.2836,25-05-13,0.97%,会员,会员,纳斯达克100,1.58%,-,开放申购,-,开放赎回,1.00%,大成基金,,
亚洲市场,159660,纳指100ETF,1.683,2.37%,8324.24,176415,0,1.6426,25-05-12,1.6669,25-05-13,0.97%,会员,会员,纳斯达克100,1.58%,-,暂停申购,-,开放赎回,0.65%,汇添富,,
亚洲市场,513080,法国CAC40ETF,1.665,1.15%,16361.69,53592,0,1.671,25-05-12,1.6543,25-05-13,0.65%,-,-,法国CAC40,0.30%,-,暂停申购,-,开放赎回,0.65%,华安基金,,
亚洲市场,160644,港美互联网LOF,1.303,0.70%,1069.88,5025,-21,1.3144,25-05-12,1.2950,25-05-13,0.62%,-,-,中证海外中国互联网指数,-1.45%,1.50%,限10万,1.50%,开放赎回,1.40%,鹏华基金,,
亚洲市场,161127,标普生物科技LOF,1.153,-1.28%,1078.32,20449,23,1.175,25-05-12,1.1472,25-05-13,0.51%,-,-,标普生物科技精选行业指数,-2.39%,1.20%,限100,1.50%,开放赎回,1.00%,易方达,,
亚洲市场,501300,美元债LOF,0.965,-0.21%,1290.1,85294,63,0.963,25-05-12,0.9612,25-05-13,0.40%,-,-,美国债券综合指数,-0.10%,0.80%,限5万,1.50%,开放赎回,0.80%,海富通,,
亚洲市场,159659,纳斯达克100ETF,1.651,2.67%,27475.23,318274,2000,1.6203,25-05-12,1.6443,25-05-13,0.41%,会员,会员,纳斯达克100,1.58%,-,开放申购,-,开放赎回,0.65%,招商基金,,
亚洲市场,159502,标普生物科技ETF,0.836,-1.30%,14015.27,145432,800,0.8525,25-05-12,0.8313,25-05-13,0.57%,-,-,标普生物科技精选行业指数,-2.39%,0.50%,开放申购,0.5%,开放赎回,0.60%,嘉实基金,,
亚洲市场,513870,纳指ETF富国,1.458,2.53%,10358.61,123067,100,1.4302,25-05-12,1.4514,25-05-13,0.45%,会员,会员,纳斯达克100,1.58%,-,开放申购,-,开放赎回,0.60%,富国基金,,
亚洲市场,164906,中概互联网LOF,1.22,1.92%,1466.79,99994,-126,1.2328,25-05-12,1.2146,25-05-13,0.44%,-,-,中证海外中国互联网指数,-1.45%,1.20%,开放申购,1.50%,开放赎回,1.40%,交银施罗德,,
亚洲市场,513500,标普500ETF,2.01,1.67%,37349.47,932164,4400,1.9893,25-05-12,2.0016,25-05-13,0.42%,会员,会员,标普500,0.72%,0.50%,开放申购,0.50%,开放赎回,0.80%,博时基金,,
亚洲市场,159501,纳斯达克指数ETF,1.439,2.64%,36348.85,549899,3000,1.412,25-05-12,1.4329,25-05-13,0.43%,会员,会员,纳斯达克100,1.58%,0.50%,开放申购,0.5%,开放赎回,0.60%,嘉实基金,,
亚洲市场,159577,美国50ETF,1.221,2.01%,6127.16,93067,0,1.2043,25-05-12,1.2166,25-05-13,0.36%,-,-,美国50,1.12%,-,暂停申购,-,开放赎回,0.65%,汇添富,,
亚洲市场,513400,道琼斯ETF,1.097,0.18%,8120.79,158806,-3600,1.1012,25-05-12,1.0931,25-05-13,0.36%,会员,会员,道琼斯工业平均指数,-0.64%,-,开放申购,-,开放赎回,0.65%,鹏华基金,,
亚洲市场,513110,纳斯达克100ETF,1.769,2.55%,16061.38,239744,1000,1.7372,25-05-12,1.7629,25-05-13,0.35%,会员,会员,纳斯达克100,1.58%,0.50%,开放申购,0.50%,开放赎回,1.00%,华泰柏瑞,,
亚洲市场,513850,美国50ETF,1.357,2.18%,13938.69,167289,-800,1.3385,25-05-12,1.3522,25-05-13,0.35%,-,-,美国50,1.12%,-,开放申购,-,开放赎回,0.60%,易方达,,
